id,gpa,undergrad_school,app_school,gmat,gre,ielts,toefl
35777,3.2,对外经济贸易大学,波士顿大学,,323,,101
35752,3.4,杭州电子科技大学,波士顿大学,,318,,99
35750,3.3,天津师范大学,波士顿大学,,315,,106
35724,3.4,厦门理工学院,波士顿大学,,313,,93
35722,3,南京信息工程大学,波士顿大学,,326,,105
35720,3,郑州大学,波士顿大学,,321,,98
35718,3.3,北京科技大学,波士顿大学,,321,,108
35662,3,北方工业大学,波士顿大学,,326,,105
35654,2.4,华北电力大学,波士顿大学,,316,,93
35643,3.3,华东理工大学,波士顿大学,,323,,107
35638,3.8,天津师范大学,波士顿大学,,,,90
35628,2.9,俄亥俄大学,波士顿大学,,327,,
35558,2.9,中国农业大学,波士顿大学,580,,,95
35550,3.5,中国青年政治学院,波士顿大学,,306,,103
35505,3.5,对外经济贸易大学,波士顿大学,,313,,
35501,2.2,山东财经大学,波士顿大学,,,,80
35419,3.6,上海财经大学,波士顿大学,,315,,83
35414,3.2,江苏大学,波士顿大学,730,,,99
35413,3.2,华东政法大学,波士顿大学,,,,96
35399,3.3,上海大学,波士顿大学,,,,99
35395,3.3,上海大学,波士顿大学,,311,6,
35375,3.5,对外经济贸易大学,波士顿大学,,321,,107
34949,3.42,大连理工大学,波士顿大学,,,,98
34945,3.48,北京邮电大学,波士顿大学,,,,95
34941,3.3,北京理工大学,波士顿大学,,,,87
34931,3.5,浙江音乐学院,波士顿大学,,,,93
34796,3.2,清华大学,波士顿大学,720,,,113
34393,3.8,西安交通大学,波士顿大学,,,,105
34337,3.54,中南大学,波士顿大学,,322,,99
34105,3.7,上海某211大学,波士顿大学,,325,,103
34098,3.14,南京审计学院,波士顿大学,,,,96
33736,3.6,浙江大学,波士顿大学,,,,104
33593,3.32,澳门理工学院,波士顿大学,,,,106
33589,4,澳门科技大学,波士顿大学,,326,,107
33587,3.41,澳门科技大学,波士顿大学,,,,83
33586,3.9,澳门大学,波士顿大学,,,7,
33471,3.66,澳门理工学院,波士顿大学,,,7.5,
33468,3.2,澳门科技大学,波士顿大学,,,,97
33467,3.7,澳门大学,波士顿大学,720,323,,103
33460,3.55,澳门理工学院,波士顿大学,,,,101
33411,3.89,澳门大学,波士顿大学,,,,102
33384,3.12,香港国际工商管理学院,波士顿大学,,,7,
33348,4,澳门旅游学院,波士顿大学,,326,,107
33344,4,中国传媒大学,波士顿大学,,320,,105
33292,4,澳门理工学院,波士顿大学,,318,,103
33288,2.8,澳门大学,波士顿大学,,315,,99
33269,3.6,澳门科技大学,波士顿大学,,327,,99
33267,4,香港公开大学,波士顿大学,,,7,
33218,4,澳门理工学院,波士顿大学,,,,95
